IN,Indiana,Gary,$3.766,https://www.gasbuddy.com/usa/in
IN,Indiana,Fort Wayne,$3.835,https://www.gasbuddy.com/usa/in
IN,Indiana,South Bend,$3.869,https://www.gasbuddy.com/usa/in
IN,Indiana,Indianapolis,$3.940,https://www.gasbuddy.com/usa/in
IN,Indiana,Evansville,$4.070,https://www.gasbuddy.com/usa/in
MS,Mississippi,Jackson,$3.972,https://www.gasbuddy.com/usa/ms
OK,Oklahoma,Oklahoma City,$3.876,https://www.gasbuddy.com/usa/ok
OK,Oklahoma,Tulsa,$3.997,https://www.gasbuddy.com/usa/ok
GA,Georgia,Augusta,$3.830,https://www.gasbuddy.com/usa/ga
GA,Georgia,Savannah,$3.922,https://www.gasbuddy.com/usa/ga
GA,Georgia,Macon,$3.952,https://www.gasbuddy.com/usa/ga
GA,Georgia,Atlanta,$4.022,https://www.gasbuddy.com/usa/ga
LA,Louisiana,Shreveport,$3.905,https://www.gasbuddy.com/usa/la
LA,Louisiana,Baton Rouge,$3.960,https://www.gasbuddy.com/usa/la
LA,Louisiana,New Orleans,$3.965,https://www.gasbuddy.com/usa/la
TX,Texas,Houston,$3.923,https://www.gasbuddy.com/usa/tx
TX,Texas,Lubbock,$3.943,https://www.gasbuddy.com/usa/tx
TX,Texas,Rio Grande Valley,$3.959,https://www.gasbuddy.com/usa/tx
TX,Texas,Amarillo,$3.967,https://www.gasbuddy.com/usa/tx
TX,Texas,College Station,$3.979,https://www.gasbuddy.com/usa/tx
TX,Texas,Midland Odessa,$3.985,https://www.gasbuddy.com/usa/tx
TX,Texas,Corpus Christi,$4.004,https://www.gasbuddy.com/usa/tx
TX,Texas,Laredo,$4.009,https://www.gasbuddy.com/usa/tx
TX,Texas,San Antonio,$4.031,https://www.gasbuddy.com/usa/tx
TX,Texas,Austin,$4.034,https://www.gasbuddy.com/usa/tx
TX,Texas,Waco,$4.040,https://www.gasbuddy.com/usa/tx
TX,Texas,Fort Worth,$4.072,https://www.gasbuddy.com/usa/tx
TX,Texas,Dallas,$4.081,https://www.gasbuddy.com/usa/tx
TX,Texas,El Paso,$4.213,https://www.gasbuddy.com/usa/tx
KS,Kansas,Wichita,$3.982,https://www.gasbuddy.com/usa/ks
KS,Kansas,Topeka,$3.996,https://www.gasbuddy.com/usa/ks
AR,Arkansas,Little Rock,$4.054,https://www.gasbuddy.com/usa/ar
SC,South Carolina,Spartanburg,$4.027,https://www.gasbuddy.com/usa/sc
SC,South Carolina,Columbia,$4.039,https://www.gasbuddy.com/usa/sc
SC,South Carolina,Greenville,$4.039,https://www.gasbuddy.com/usa/sc
SC,South Carolina,Myrtle Beach,$4.058,https://www.gasbuddy.com/usa/sc
AL,Alabama,Huntsville,$4.073,https://www.gasbuddy.com/usa/al
AL,Alabama,Mobile,$4.086,https://www.gasbuddy.com/usa/al
AL,Alabama,Montgomery,$4.117,https://www.gasbuddy.com/usa/al
AL,Alabama,Birmingham,$4.122,https://www.gasbuddy.com/usa/al
TN,Tennessee,Chattanooga,$4.053,https://www.gasbuddy.com/usa/tn
TN,Tennessee,Memphis,$4.121,https://www.gasbuddy.com/usa/tn
TN,Tennessee,Knoxville,$4.184,https://www.gasbuddy.com/usa/tn
TN,Tennessee,Nashville,$4.204,https://www.gasbuddy.com/usa/tn
ND,North Dakota,Fargo,$4.105,https://www.gasbuddy.com/usa/nd
NC,North Carolina,Fayetteville,$4.042,https://www.gasbuddy.com/usa/nc
NC,North Carolina,Charlotte,$4.162,https://www.gasbuddy.com/usa/nc
NC,North Carolina,Greensboro,$4.180,https://www.gasbuddy.com/usa/nc
NC,North Carolina,Raleigh,$4.195,https://www.gasbuddy.com/usa/nc
NC,North Carolina,Asheville,$4.205,https://www.gasbuddy.com/usa/nc
NC,North Carolina,Winston-Salem,$4.207,https://www.gasbuddy.com/usa/nc
NC,North Carolina,Durham,$4.252,https://www.gasbuddy.com/usa/nc
IA,Iowa,Des Moines,$4.145,https://www.gasbuddy.com/usa/ia
