IN,Indiana,$3.681,https://www.gasbuddy.com/usa/in
OK,Oklahoma,$3.783,https://www.gasbuddy.com/usa/ok
TX,Texas,$3.786,https://www.gasbuddy.com/usa/tx
GA,Georgia,$3.803,https://www.gasbuddy.com/usa/ga
LA,Louisiana,$3.820,https://www.gasbuddy.com/usa/la
MS,Mississippi,$3.859,https://www.gasbuddy.com/usa/ms
SC,South Carolina,$3.871,https://www.gasbuddy.com/usa/sc
KS,Kansas,$3.897,https://www.gasbuddy.com/usa/ks
AR,Arkansas,$3.907,https://www.gasbuddy.com/usa/ar
TN,Tennessee,$3.931,https://www.gasbuddy.com/usa/tn
AL,Alabama,$3.933,https://www.gasbuddy.com/usa/al
NC,North Carolina,$3.935,https://www.gasbuddy.com/usa/nc
ND,North Dakota,$3.974,https://www.gasbuddy.com/usa/nd
IA,Iowa,$3.980,https://www.gasbuddy.com/usa/ia
KY,Kentucky,$4.018,https://www.gasbuddy.com/usa/ky
FL,Florida,$4.031,https://www.gasbuddy.com/usa/fl
MO,Missouri,$4.047,https://www.gasbuddy.com/usa/mo
NE,Nebraska,$4.064,https://www.gasbuddy.com/usa/ne
NM,New Mexico,$4.072,https://www.gasbuddy.com/usa/nm
SD,South Dakota,$4.099,https://www.gasbuddy.com/usa/sd
DE,Delaware,$4.132,https://www.gasbuddy.com/usa/de
MN,Minnesota,$4.151,https://www.gasbuddy.com/usa/mn
MD,Maryland,$4.154,https://www.gasbuddy.com/usa/md
WI,Wisconsin,$4.168,https://www.gasbuddy.com/usa/wi
VA,Virginia,$4.170,https://www.gasbuddy.com/usa/va
RI,Rhode Island,$4.293,https://www.gasbuddy.com/usa/ri
PR,San Juan,$4.298,https://www.gasbuddy.com/usa/pr
WV,West Virginia,$4.307,https://www.gasbuddy.com/usa/wv
CO,Colorado,$4.320,https://www.gasbuddy.com/usa/co
OH,Ohio,$4.351,https://www.gasbuddy.com/usa/oh
MA,Massachusetts,$4.359,https://www.gasbuddy.com/usa/ma
NH,New Hampshire,$4.363,https://www.gasbuddy.com/usa/nh
NJ,New Jersey,$4.363,https://www.gasbuddy.com/usa/nj
MI,Michigan,$4.367,https://www.gasbuddy.com/usa/mi
ME,Maine,$4.382,https://www.gasbuddy.com/usa/me
WY,Wyoming,$4.392,https://www.gasbuddy.com/usa/wy
CT,Connecticut,$4.460,https://www.gasbuddy.com/usa/ct
PA,Pennsylvania,$4.477,https://www.gasbuddy.com/usa/pa
VT,Vermont,$4.493,https://www.gasbuddy.com/usa/vt
MT,Montana,$4.494,https://www.gasbuddy.com/usa/mt
NY,New York,$4.500,https://www.gasbuddy.com/usa/ny
UT,Utah,$4.510,https://www.gasbuddy.com/usa/ut
DC,Washington DC,$4.578,https://www.gasbuddy.com/usa/dc
ID,Idaho,$4.606,https://www.gasbuddy.com/usa/id
AZ,Arizona,$4.656,https://www.gasbuddy.com/usa/az
IL,Illinois,$4.748,https://www.gasbuddy.com/usa/il
NV,Nevada,$5.116,https://www.gasbuddy.com/usa/nv
OR,Oregon,$5.211,https://www.gasbuddy.com/usa/or
AK,Alaska,$5.212,https://www.gasbuddy.com/usa/ak
HI,Hawaii,$5.602,https://www.gasbuddy.com/usa/hi
WA,Washington,$5.718,https://www.gasbuddy.com/usa/wa
CA,California,$6.015,https://www.gasbuddy.com/usa/ca
