IN,Indiana,$3.354,https://www.gasbuddy.com/usa/in
TX,Texas,$3.497,https://www.gasbuddy.com/usa/tx
OK,Oklahoma,$3.517,https://www.gasbuddy.com/usa/ok
TN,Tennessee,$3.602,https://www.gasbuddy.com/usa/tn
KY,Kentucky,$3.611,https://www.gasbuddy.com/usa/ky
LA,Louisiana,$3.631,https://www.gasbuddy.com/usa/la
SC,South Carolina,$3.650,https://www.gasbuddy.com/usa/sc
MS,Mississippi,$3.657,https://www.gasbuddy.com/usa/ms
AR,Arkansas,$3.667,https://www.gasbuddy.com/usa/ar
AL,Alabama,$3.674,https://www.gasbuddy.com/usa/al
NC,North Carolina,$3.683,https://www.gasbuddy.com/usa/nc
KS,Kansas,$3.727,https://www.gasbuddy.com/usa/ks
GA,Georgia,$3.731,https://www.gasbuddy.com/usa/ga
IA,Iowa,$3.736,https://www.gasbuddy.com/usa/ia
MO,Missouri,$3.794,https://www.gasbuddy.com/usa/mo
VA,Virginia,$3.815,https://www.gasbuddy.com/usa/va
ND,North Dakota,$3.817,https://www.gasbuddy.com/usa/nd
MD,Maryland,$3.827,https://www.gasbuddy.com/usa/md
DE,Delaware,$3.830,https://www.gasbuddy.com/usa/de
FL,Florida,$3.837,https://www.gasbuddy.com/usa/fl
NE,Nebraska,$3.865,https://www.gasbuddy.com/usa/ne
MN,Minnesota,$3.875,https://www.gasbuddy.com/usa/mn
WI,Wisconsin,$3.876,https://www.gasbuddy.com/usa/wi
NM,New Mexico,$3.888,https://www.gasbuddy.com/usa/nm
SD,South Dakota,$3.933,https://www.gasbuddy.com/usa/sd
WV,West Virginia,$3.969,https://www.gasbuddy.com/usa/wv
PR,San Juan,$4.046,https://www.gasbuddy.com/usa/pr
CO,Colorado,$4.049,https://www.gasbuddy.com/usa/co
RI,Rhode Island,$4.077,https://www.gasbuddy.com/usa/ri
OH,Ohio,$4.088,https://www.gasbuddy.com/usa/oh
NJ,New Jersey,$4.099,https://www.gasbuddy.com/usa/nj
WY,Wyoming,$4.121,https://www.gasbuddy.com/usa/wy
NH,New Hampshire,$4.149,https://www.gasbuddy.com/usa/nh
MA,Massachusetts,$4.155,https://www.gasbuddy.com/usa/ma
ME,Maine,$4.171,https://www.gasbuddy.com/usa/me
CT,Connecticut,$4.183,https://www.gasbuddy.com/usa/ct
MI,Michigan,$4.190,https://www.gasbuddy.com/usa/mi
PA,Pennsylvania,$4.216,https://www.gasbuddy.com/usa/pa
MT,Montana,$4.241,https://www.gasbuddy.com/usa/mt
UT,Utah,$4.271,https://www.gasbuddy.com/usa/ut
DC,Washington DC,$4.292,https://www.gasbuddy.com/usa/dc
VT,Vermont,$4.316,https://www.gasbuddy.com/usa/vt
NY,New York,$4.349,https://www.gasbuddy.com/usa/ny
IL,Illinois,$4.369,https://www.gasbuddy.com/usa/il
ID,Idaho,$4.403,https://www.gasbuddy.com/usa/id
AZ,Arizona,$4.406,https://www.gasbuddy.com/usa/az
NV,Nevada,$4.922,https://www.gasbuddy.com/usa/nv
OR,Oregon,$4.977,https://www.gasbuddy.com/usa/or
AK,Alaska,$5.133,https://www.gasbuddy.com/usa/ak
HI,Hawaii,$5.533,https://www.gasbuddy.com/usa/hi
WA,Washington,$5.553,https://www.gasbuddy.com/usa/wa
CA,California,$5.741,https://www.gasbuddy.com/usa/ca
