IN,Indiana,$3.591,https://www.gasbuddy.com/usa/in
MS,Mississippi,$3.835,https://www.gasbuddy.com/usa/ms
OK,Oklahoma,$3.836,https://www.gasbuddy.com/usa/ok
TX,Texas,$3.856,https://www.gasbuddy.com/usa/tx
LA,Louisiana,$3.877,https://www.gasbuddy.com/usa/la
AL,Alabama,$3.901,https://www.gasbuddy.com/usa/al
SC,South Carolina,$3.915,https://www.gasbuddy.com/usa/sc
KS,Kansas,$3.918,https://www.gasbuddy.com/usa/ks
TN,Tennessee,$3.922,https://www.gasbuddy.com/usa/tn
AR,Arkansas,$3.950,https://www.gasbuddy.com/usa/ar
NC,North Carolina,$3.966,https://www.gasbuddy.com/usa/nc
GA,Georgia,$3.991,https://www.gasbuddy.com/usa/ga
MO,Missouri,$4.004,https://www.gasbuddy.com/usa/mo
KY,Kentucky,$4.011,https://www.gasbuddy.com/usa/ky
NE,Nebraska,$4.062,https://www.gasbuddy.com/usa/ne
SD,South Dakota,$4.103,https://www.gasbuddy.com/usa/sd
WI,Wisconsin,$4.114,https://www.gasbuddy.com/usa/wi
FL,Florida,$4.139,https://www.gasbuddy.com/usa/fl
VA,Virginia,$4.141,https://www.gasbuddy.com/usa/va
IA,Iowa,$4.144,https://www.gasbuddy.com/usa/ia
WV,West Virginia,$4.146,https://www.gasbuddy.com/usa/wv
ND,North Dakota,$4.153,https://www.gasbuddy.com/usa/nd
OH,Ohio,$4.183,https://www.gasbuddy.com/usa/oh
MD,Maryland,$4.188,https://www.gasbuddy.com/usa/md
MN,Minnesota,$4.241,https://www.gasbuddy.com/usa/mn
NH,New Hampshire,$4.249,https://www.gasbuddy.com/usa/nh
CO,Colorado,$4.276,https://www.gasbuddy.com/usa/co
DC,Washington DC,$4.281,https://www.gasbuddy.com/usa/dc
NM,New Mexico,$4.287,https://www.gasbuddy.com/usa/nm
MA,Massachusetts,$4.292,https://www.gasbuddy.com/usa/ma
PR,San Juan,$4.306,https://www.gasbuddy.com/usa/pr
ME,Maine,$4.307,https://www.gasbuddy.com/usa/me
MI,Michigan,$4.316,https://www.gasbuddy.com/usa/mi
NY,New York,$4.349,https://www.gasbuddy.com/usa/ny
DE,Delaware,$4.350,https://www.gasbuddy.com/usa/de
VT,Vermont,$4.354,https://www.gasbuddy.com/usa/vt
RI,Rhode Island,$4.359,https://www.gasbuddy.com/usa/ri
CT,Connecticut,$4.386,https://www.gasbuddy.com/usa/ct
NJ,New Jersey,$4.404,https://www.gasbuddy.com/usa/nj
WY,Wyoming,$4.447,https://www.gasbuddy.com/usa/wy
MT,Montana,$4.461,https://www.gasbuddy.com/usa/mt
IL,Illinois,$4.490,https://www.gasbuddy.com/usa/il
PA,Pennsylvania,$4.493,https://www.gasbuddy.com/usa/pa
AZ,Arizona,$4.552,https://www.gasbuddy.com/usa/az
UT,Utah,$4.674,https://www.gasbuddy.com/usa/ut
ID,Idaho,$4.765,https://www.gasbuddy.com/usa/id
NV,Nevada,$5.033,https://www.gasbuddy.com/usa/nv
AK,Alaska,$5.061,https://www.gasbuddy.com/usa/ak
OR,Oregon,$5.062,https://www.gasbuddy.com/usa/or
HI,Hawaii,$5.427,https://www.gasbuddy.com/usa/hi
WA,Washington,$5.526,https://www.gasbuddy.com/usa/wa
CA,California,$5.964,https://www.gasbuddy.com/usa/ca
